domain,registered_date,registered_year,expire,changed,registrar,org,city,country,nameservers
contraloriagirardot-aragua.gob.ve,,,,,,,MARACAY,VE,"ns0.contraloriagirardot-aragua.gob.ve, ns1.contraloriagirardot-aragua.gob.ve"
contraloriamonagas.gob.ve,,,,,,,Maturin,VE,"ns1.dynu.com, ns2.dynu.com, ns3.dynu.com, ns4.dynu.com, ns5.dynu.com"
contraloriamunicipaldeheres-bolivar.gob.ve,,,,,,,Ciudad Bolivar,VE,"dns1.alcaldiadeheres.gob.ve, dns2.alcaldiadeheres.gob.ve"
contraloriamunicipaldepiar.gob.ve,,,,,,,Upata,VE,"ns2.mysecurecloudhost.com, ns1.mysecurecloudhost.com, ns4.mysecurecloudhost.com, ns3.mysecurecloudhost.com"
contraloriarosariodeperija.gob.ve,,,,,,,Villa del Rosario,VE,"ns11.8ssi.com, ns12.8ssi.com, ns1.8ssi.com, ns2.8ssi.com"
corpesca.gob.ve,,,,,,Corporacion De Servicios Pesqueros Y Acuicolas De Venezuela,1015,VE,"dns2.cantv.net, dns1.cantv.net"
corpocentro.gob.ve,,,,,,,Valencia,VE,"ns1.mppp.gob.ve, ns2.mppp.gob.ve"
corpoelec.gob.ve,,,,,,Corporacion Electrica Nacional S  A   Corpoelec,caracas,VE,"ns1.corpoelec.gob.ve, ns2.corpoelec.gob.ve, ns3.corpoelec.gob.ve"
corpoez.gob.ve,,,,,,NO APLICA,1071,VE,"ns1.corpoez.gob.ve, ns2.corpoez.gob.ve"
corposaludaragua.gob.ve,,,,,,,Maracay,VE,"dns1.corposaludaragua.gob.ve, dns2.corposaludaragua.gob.ve"
corposaludtachira.gob.ve,,,,,,,San Cristobal,VE,"delta.corposaludtachira.gob.ve, epsilon.corposaludtachira.gob.ve"
corposaludyaracuy.gob.ve,,,,,,,San Felipe,VE,"kay.ns.cloudflare.com, theo.ns.cloudflare.com"
corpotulipa.gob.ve,,,,,,Corp  Para La Zona Libre Para El Fomento De La Inversi  N Tur  Stica En La Pen  Nsula De Paraguan,4150,VE,"ns2.corpotulipa.gob.ve, ns1.corpotulipa.gob.ve"
corpovex.gob.ve,,,,,,Corporación Venezolana De Comercio Exterior S.a.,1052,VE,"ns1.corpovex.gob.ve, ns2.corpovex.gob.ve"
correodelorinoco.gob.ve,,,,,,,Caracas,VE,"luke.ns.cloudflare.com, addyson.ns.cloudflare.com"
corselca.gob.ve,,,,,,Sergio Luis,1050,VE,"dns2.corselca.gob.ve, dns1.corselca.gob.ve"
cpsa.gob.ve,,,,,,Conglomerado Productivo S A,1010,VE,"dns2.cantv.net, dns1.cantv.net"
cronistadecaracas.gob.ve,,,,,,Organo Auxiliar Municipal Del Cronista Municipio Libertador,1010,VE,"ns3.nube.gob.ve, ns5.nube.gob.ve"
csn.gob.ve,,,,,,Danny Rafael,1000,VE,"dns1.csn.gob.ve, dns2.csn.gob.ve"
cuspal.gob.ve,,,,,,,Caracas,VE,"ns2.cuspal.gob.ve, ns1.cuspal.gob.ve"
cvg.gob.ve,,,,,,,Puerto Ordaz,VE,"dns1.cantv.net, dns2.cantv.net"
defensapublica.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
desarrollominero.gob.ve,,,,,,Dulce Marinette,1060,VE,"ns3.mppdme.gob.ve, ns4.mppdme.gob.ve"
dgnb.gob.ve,,,,,,Direcci  N General Nacional De Bomberos,1050,VE,"ns2.fonbe.gob.ve, ns1.fonbe.gob.ve"
e-bolivar.gob.ve,,,,,,Ejecutivo Del Estado Bolivar,8001,VE,"ns1.e-bolivar.gob.ve, ns2.e-bolivar.gob.ve"
edosucre.gob.ve,,,,,,,6101,VE,"ns2.daycohost.com, ns1.daycohost.com"
elpuebloparticipa.gob.ve,,,,,,Fondo Nacional De Misiones,1060,VE,"aarav.ns.cloudflare.com, jen.ns.cloudflare.com"
embajada.gob.ve,,,,,,,Caracas,VE,"ns1.mre.gob.ve, ns2.mre.gob.ve"
emprenderjuntos.gob.ve,,,,,,Ministerio Del Poder Popular De Econom  A Y Finanzas,1010,VE,"dns2.mppef.gob.ve, dns1.mppef.gob.ve"
emvepro.gob.ve,,,,,,Empresa De Distribucion De Productos E Insumos  Venezuela Productiva  C A,2115,VE,"ns1.emvepro.gob.ve, ns2.emvepro.gob.ve"
envial.gob.ve,,,,,,,Caracas,VE,"west.ns.cloudflare.com, molly.ns.cloudflare.com"
epuvenezuela.gob.ve,,,,,,,Caracas,VE,"ns1.mre.gob.ve, ns2.mre.gob.ve"
espromedbio.gob.ve,,,,,,,Caracas,VE,"dns2.espromedbio.gob.ve, dns1.espromedbio.gob.ve"
falcon.gob.ve,,,,,,,Coro,VE,coro.falcon.gob.ve
fasmee.gob.ve,,,,,,Fondo Autoadministrado De Salud Para El Ministerio Del Poder Popular Para La Energia Electrica,1060,VE,"fasdns02.fasmee.gob.ve, fasdns01.fasmee.gob.ve, fasdns03.fasmee.gob.ve, fasdns04.fasmee.gob.ve"
femsur.gob.ve,,,,,,Fundacion Escuela Feminista Del Sur Argelia Laya Femsur,1010,VE,"dns2.femsur.gob.ve, dns1.femsur.gob.ve"
fevp.gob.ve,,,,,,NO APLICA,1090,VE,"ns1.mppp.gob.ve, ns2.mppp.gob.ve"
fidetel.gob.ve,,,,,,,Caracas,VE,"ns1.mppct.gob.ve, ns2.mppct.gob.ve"
fii.gob.ve,,,,,,,Sartenejas,VE,"shakespeare.fii.gob.ve, bello.fii.gob.ve"
fitven.gob.ve,,,,,,,Caracas,VE,"dns2.mintur.gob.ve, dns1.mintur.gob.ve"
flnh.gob.ve,,,,,,Fundacion Laboratorio Nacional De Hidraulica,1073,VE,"ns351.gconex.com, ns350.gconex.com"
fnp.gob.ve,,,,,,,Caracas,VE,"ns2.digalo.gob.ve, ns1.digalo.gob.ve"
fogade.gob.ve,,,,,,Manuel,1010,VE,"dns1.fogade.gob.ve, dns2.fogade.gob.ve"
fona.gob.ve,,,,,,Luis Daniel,1050,VE,"ns2.fona.gob.ve, ns1.fona.gob.ve"
fonacit.gob.ve,,,,,,FONACIT,1012,VE,"ns1.fonacit.gob.ve, ns2.fonacit.gob.ve"
fonbe.gob.ve,,,,,,Fondo Nacional De Bomberos Y Bomberas Y Adm De Emerg,1071,VE,"ns2.fonbe.gob.ve, ns1.fonbe.gob.ve"
fondemi.gob.ve,,,,,,,Caracas,VE,"externo1.fondemi.gob.ve, externo.fondemi.gob.ve"
fonden.gob.ve,,,,,,Karen Lindsay,1010,VE,"pat.ns.cloudflare.com, dexter.ns.cloudflare.com"
fondoefa.gob.ve,,,,,,Fondoefa,1020,VE,"ns2.fondoefa.gob.ve, ns1.fondoefa.gob.ve"
fondoin.gob.ve,,,,,,Fondo Vzlano De Reconversion Ind Y Tecnologica Fondoin,1050,VE,"ns2.fondoin.gob.ve, ns1.fondoin.gob.ve"
fonpyme.gob.ve,,,,,,,Caracas,VE,"dns2.fonpyme.gob.ve, dns1.fonpyme.gob.ve"
fundabit.gob.ve,,,,,,,Caracas,VE,"dns1.fundabit.gob.ve, dns2.fundabit.gob.ve"
fundacite-falcon.gob.ve,,,,,,Jean Paul,4101,VE,falcon.fundacite-falcon.gob.ve
fundacite-merida.gob.ve,,,,,,Fundacite Merida,5101,VE,"ns2.fundacite-merida.gob.ve, ns.fundacite-merida.gob.ve"
fundacite.gob.ve,,,,,,Ministerio Del Poder Popular Para Ciencia Y Tecnologia,1010,VE,"ns1.mppct.gob.ve, ns2.mppct.gob.ve"
fundadeporte.gob.ve,,,,,,,Naguanagua,VE,"ns25.tepuyserver.net, ns26.tepuyserver.net"
fundalanavial.gob.ve,,,,,,,Catia la Mar,VE,"dns1.fundalanavial.gob.ve, dns2.fundalanavial.gob.ve"
fundapatrimonio.gob.ve,,,,,,Zulima Yuney,1090,VE,"ns8951.banahosting.com, ns8950.banahosting.com"
fundarte.gob.ve,,,,,,Fundacion Para La Cultura Y Las Artes,1014,VE,"ns8951.banahosting.com, ns8950.banahosting.com"
fundavene.gob.ve,,,,,,Fundaci  N Venezolana De Donaciones Y Trasplantes De   Rganos  Tejidos Y C  Lulas  Fundavene,1010,VE,"ns2.nube.gob.ve, ns1.nube.gob.ve"
fundayacucho.gob.ve,,,,,,Fundacion Gran Mariscal De Ayacucho,1073,VE,"ns2.fundayacucho.gob.ve, ns1.fundayacucho.gob.ve"
fundelec.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
fundesta.gob.ve,,,,,,,San Cristobal,VE,"ns42.domaincontrol.com, ns41.domaincontrol.com"
funves.gob.ve,,,,,,,Caracas,VE,"ns1.netquatro.net, ns2.netquatro.net, ns3.netquatro.net, ns4.netquatro.net"
funvi.gob.ve,,,,,,Faviola Jose,1020,VE,"dns2.cantv.net, dns1.cantv.net"
futurafm.gob.ve,,,,,,Futura,4013,VE,"b11.dns40.com, b10.dns40.com"
gacetaoficial.gob.ve,,,,,,Anabella Celeste,1011,VE,"ns-imprenta-2.gacetaoficial.gob.ve, ns-imprenta-1.gacetaoficial.gob.ve"
gaslara.gob.ve,,,,,,GASLARA,3001,VE,"jason.ns.cloudflare.com, lara.ns.cloudflare.com"
gdc.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net"
gobernaciondelzulia.gob.ve,,,,,,Gobernacion Del Estado Zulia,4001,VE,"dns2.gobernaciondelzulia.gob.ve, dns1.gobernaciondelzulia.gob.ve"
granmisionvueltaalapatria.gob.ve,,,,,,Instituto Autonomo Consejo Nacional De Derechos De Ni  Os  Ni  As Y Adolecentes  Idenna,1053,VE,"m2.servidoro.com, m1.servidoro.com"
guarico.gob.ve,,,,,,Gobernacion Del Estado Bolivariano De Gu  Rico,2301,VE,"dns2.guarico.gob.ve, dns1.guarico.gob.ve"
guayanaesequiba.gob.ve,,,,,,Gobernaci  N Del Estado Guayana Esequiba,1064,VE,"ns1.nube.gob.ve, ns2.nube.gob.ve"
hcudamp.gob.ve,,,,,,,Barquisimeto,VE,"ns1.he.net, ns2.he.net, ns3.he.net, ns4.he.net, ns5.he.net"
hidroandes.gob.ve,,,,,,,Barinas,VE,"ns8.globalhostla.com, ns7.globalhostla.com"
hidrocapital.gob.ve,,,,,,NO APLICA,1050,VE,"ns2.hidrocapital.gob.ve, ns1.hidrocapital.gob.ve"
hidrocaribe.gob.ve,,,,,,C A Hidrologica Del Caribe Hidrocaribe,6023,VE,"dns2.cantv.net, dns1.cantv.net"
hidrolago.gob.ve,,,,,,C A  Hidrologica Del Lago De Maracaibo,4004,VE,"dns2.cantv.net, dns1.cantv.net"
hidrolara.gob.ve,,,,,,,Barquisimeto,VE,"dns1.cantv.net, dns2.cantv.net"
hidropaez.gob.ve,,,,,,C A Hidrologica P  Ez,2301,VE,"dns1.hidropaez.gob.ve, dns2.hidropaez.gob.ve"
hidrosuroeste.gob.ve,,,,,,,San Cristobal,VE,"dns1.cantv.net, dns2.cantv.net"
hidroven.gob.ve,,,,,,C A  Hidrologica Venezolana,1060,VE,"ns2.hidroven.gob.ve, ns1.hidroven.gob.ve"
hogaresdelapatria.gob.ve,,,,,,Fundacion Gran Mision Hogares De La Patria,1010,VE,"dns2.hogaresdelapatria.gob.ve, dns1.hogaresdelapatria.gob.ve"
huc.gob.ve,,,,,,Jose Gregorio,1041,VE,"dns2.huc.gob.ve, dns1.huc.gob.ve"
iaefalcon.gob.ve,,,,,,,Santa Ana de Coro,VE,"kay.ns.cloudflare.com, theo.ns.cloudflare.com"
iaim.gob.ve,,,,,,Instituto Aeropuerto Internacional De Maiquet  A,1162,VE,ns1.iaim.gob.ve
iamib.gob.ve,,,,,,,Ciudad Bolivar,VE,"ns5.globalhost.com.ve, ns6.globalhost.com.ve"
